,Location,Range,Row,variable,value
1268,Location 1,9,2,B,0.2994595181476545
1269,Location 1,10,2,B,0.37833775228015687
1270,Location 1,1,3,B,0.4204930084900771
1271,Location 1,2,3,B,0.36596312052024177
1272,Location 1,3,3,B,0.3584787829093934
1273,Location 1,4,3,B,0.3191594573577563
1274,Location 1,5,3,B,0.3733476018647659
1275,Location 1,6,3,B,0.4776263013498785
1276,Location 1,7,3,B,0.3630037825724649
1277,Location 1,8,3,B,0.5026044615731192
1278,Location 1,9,3,B,0.3890262446051916
1279,Location 1,10,3,B,0.31299536337753325
1280,Location 1,1,4,B,0.4126480827568487
1281,Location 1,2,4,B,0.445141354937679
1282,Location 1,3,4,B,0.4134524271041128
1283,Location 1,4,4,B,0.4612493192008918
1284,Location 1,5,4,B,0.33718245840462635
1285,Location 1,6,4,B,0.5362490021313143
1286,Location 1,7,4,B,0.46546050112785203
1287,Location 1,8,4,B,0.32398357519056376
1288,Location 1,9,4,B,0.38482153030528266
1289,Location 1,10,4,B,0.3944206262127081
1290,Location 1,1,5,B,0.4352671029574543
1291,Location 1,2,5,B,0.34810974369638903
1292,Location 1,3,5,B,0.43861230407922286
1293,Location 1,4,5,B,0.474173960423109
1294,Location 1,5,5,B,0.5043083154932269
1295,Location 1,6,5,B,0.28896118512807445
1296,Location 1,7,5,B,0.4542546774151039
1297,Location 1,8,5,B,0.521141315336789
1298,Location 1,9,5,B,0.4952365349195561
1299,Location 1,10,5,B,0.3980089236211071
1300,Location 2,1,1,B,0.4437428028181764
1301,Location 2,2,1,B,0.3357059165560708
1302,Location 2,3,1,B,0.6027752624252466
1303,Location 2,4,1,B,0.40716035789491173
1304,Location 2,5,1,B,0.34055863785504215
1305,Location 2,6,1,B,0.46401046242974847
1306,Location 2,7,1,B,0.46078032820921666
1307,Location 2,8,1,B,0.40685867871287973
1308,Location 2,9,1,B,0.3332429945991864
1309,Location 2,10,1,B,0.44547619678992606
1310,Location 2,1,2,B,0.5326168624375933
1311,Location 2,2,2,B,0.5058596646529787
1312,Location 2,3,2,B,0.4211038404326743
1313,Location 2,4,2,B,0.5277231652517688
1314,Location 2,5,2,B,0.5812986539131909
1315,Location 2,6,2,B,0.2540872988886166
1316,Location 2,7,2,B,0.3945607756833293
1317,Location 2,8,2,B,0.47978427188347617
1318,Location 2,9,2,B,0.5015720877142146
1319,Location 2,10,2,B,0.333132112735242
1320,Location 2,1,3,B,0.4734049472162601
1321,Location 2,2,3,B,0.35997744587248226
1322,Location 2,3,3,B,0.4498498621498367
1323,Location 2,4,3,B,0.42336067134120675
1324,Location 2,5,3,B,0.2987257866518761
1325,Location 2,6,3,B,0.3875813812262543
1326,Location 2,7,3,B,0.4680030955275762
1327,Location 2,8,3,B,0.3836953305502095
1328,Location 2,9,3,B,0.3944967236620919
1329,Location 2,10,3,B,0.4656783035698674
1330,Location 2,1,4,B,0.5714596792692612
1331,Location 2,2,4,B,0.343686562528949
1332,Location 2,3,4,B,0.42266013014522985
1333,Location 2,4,4,B,0.4606769010834582
1334,Location 2,5,4,B,0.4780788752690676
1335,Location 2,6,4,B,0.37800830437034727
1336,Location 2,7,4,B,0.3273758675445893
1337,Location 2,8,4,B,0.4349006147545211
1338,Location 2,9,4,B,0.4714170674517995
1339,Location 2,10,4,B,0.237214110487737
1340,Location 2,1,5,B,0.4887179951586901
1341,Location 2,2,5,B,0.3304460522560684
1342,Location 2,3,5,B,0.4205339525029718
1343,Location 2,4,5,B,0.44409841756433704
1344,Location 2,5,5,B,0.5765744508147321
1345,Location 2,6,5,B,0.40763752792023544
1346,Location 2,7,5,B,0.5065492726466283
1347,Location 2,8,5,B,0.4699039503485643
1348,Location 2,9,5,B,0.3693999447378312
1349,Location 2,10,5,B,0.5168323892319872
1350,Location 3,1,1,B,0.41357082546676666
1351,Location 3,2,1,B,0.3896484617845381
1352,Location 3,3,1,B,0.36339572721608177
1353,Location 3,4,1,B,0.36496868166853036
1354,Location 3,5,1,B,0.513373676962593
1355,Location 3,6,1,B,0.5196652127336148
1356,Location 3,7,1,B,0.5240481951672832
1357,Location 3,8,1,B,0.37970288947141784
1358,Location 3,9,1,B,0.45824740993257906
1359,Location 3,10,1,B,0.45923230956496575
1360,Location 3,1,2,B,0.3981587106375483
1361,Location 3,2,2,B,0.36645307889305273
1362,Location 3,3,2,B,0.49911742630146094
1363,Location 3,4,2,B,0.46020282213584324
1364,Location 3,5,2,B,0.44054088469608116
1365,Location 3,6,2,B,0.4570905012019476
1366,Location 3,7,2,B,0.5109273885246688
1367,Location 3,8,2,B,0.37367349475045536
1368,Location 3,9,2,B,0.4427582143586992
1369,Location 3,10,2,B,0.35557304913259946
1370,Location 3,1,3,B,0.3359538341681486
1371,Location 3,2,3,B,0.408976135959718
1372,Location 3,3,3,B,0.34620282368397776
1373,Location 3,4,3,B,0.3631076772250978
1374,Location 3,5,3,B,0.38751787166257234
1375,Location 3,6,3,B,0.5204864899328925
1376,Location 3,7,3,B,0.44935091838649005
1377,Location 3,8,3,B,0.5820289733052362
1378,Location 3,9,3,B,0.41460549256319174
1379,Location 3,10,3,B,0.43705698347530764
1380,Location 3,1,4,B,0.3702292813283758
1381,Location 3,2,4,B,0.4667364199954469
1382,Location 3,3,4,B,0.3810544784382951
1383,Location 3,4,4,B,0.4172192645340475
1384,Location 3,5,4,B,0.4571406085914436
1385,Location 3,6,4,B,0.3838256455520169
1386,Location 3,7,4,B,0.2542535935953057
1387,Location 3,8,4,B,0.46653817451462354
1388,Location 3,9,4,B,0.41031158384639266
1389,Location 3,10,4,B,0.5045939084712517
1390,Location 3,1,5,B,0.4284955729436855
1391,Location 3,2,5,B,0.43229478956778394
1392,Location 3,3,5,B,0.3747970972549494
1393,Location 3,4,5,B,0.4383051290381704
1394,Location 3,5,5,B,0.45989688573075216
1395,Location 3,6,5,B,0.37513797852007763
1396,Location 3,7,5,B,0.40443420981622497
1397,Location 3,8,5,B,0.3245631207981568
1398,Location 3,9,5,B,0.408570009818016
1399,Location 3,10,5,B,0.447277904786155
1400,Location 4,1,1,B,0.3550845008245678
1401,Location 4,2,1,B,0.3373513571790545
1402,Location 4,3,1,B,0.393752990431109
1403,Location 4,4,1,B,0.4147803735470512
1404,Location 4,5,1,B,0.3836221212289723
1405,Location 4,6,1,B,0.25973083981868994
1406,Location 4,7,1,B,0.38008785931150385
1407,Location 4,8,1,B,0.4380276566300448
1408,Location 4,9,1,B,0.4443008577123231
1409,Location 4,10,1,B,0.26892092908249543
1410,Location 4,1,2,B,0.32693796278562337
1411,Location 4,2,2,B,0.4683875733458897
1412,Location 4,3,2,B,0.5014307902345285
1413,Location 4,4,2,B,0.3474212298212396
1414,Location 4,5,2,B,0.3206208560636456
1415,Location 4,6,2,B,0.4340974432850814
1416,Location 4,7,2,B,0.5638096012280803
1417,Location 4,8,2,B,0.3378474481842476
1418,Location 4,9,2,B,0.36793254219508187
1419,Location 4,10,2,B,0.3509913894420148
1420,Location 4,1,3,B,0.3859077056361141
1421,Location 4,2,3,B,0.42000645780940554
1422,Location 4,3,3,B,0.3312129538636244
1423,Location 4,4,3,B,0.2307560905916434
1424,Location 4,5,3,B,0.44267790641416566
1425,Location 4,6,3,B,0.4754048398180572
1426,Location 4,7,3,B,0.44744640924776286
1427,Location 4,8,3,B,0.47280232279422274
1428,Location 4,9,3,B,0.43726131873459056
1429,Location 4,10,3,B,0.35647049638282163
1430,Location 4,1,4,B,0.4555516782939806
1431,Location 4,2,4,B,0.5268421535435963
1432,Location 4,3,4,B,0.44196911932781613
1433,Location 4,4,4,B,0.47528220764375567
1434,Location 4,5,4,B,0.5049907318399569
1435,Location 4,6,4,B,0.3080233423671278
1436,Location 4,7,4,B,0.29541018217334636
1437,Location 4,8,4,B,0.49552144921591146
1438,Location 4,9,4,B,0.34128737460991626
1439,Location 4,10,4,B,0.4590326904232533
1440,Location 4,1,5,B,0.4505061839701281
1441,Location 4,2,5,B,0.5229843014260339
1442,Location 4,3,5,B,0.4583282282292413
1443,Location 4,4,5,B,0.44805862014604647
1444,Location 4,5,5,B,0.4825346557607306
1445,Location 4,6,5,B,0.3423944200009337
1446,Location 4,7,5,B,0.4103963502885724
1447,Location 4,8,5,B,0.4263092295970422
1448,Location 4,9,5,B,0.45733086439996923
1449,Location 4,10,5,B,0.29205328434926414
1450,Location 5,1,1,B,0.5854355362366681
1451,Location 5,2,1,B,0.4086077557407745
1452,Location 5,3,1,B,0.3568561566783705
1453,Location 5,4,1,B,0.2975943223040096
1454,Location 5,5,1,B,0.38836512666568723
1455,Location 5,6,1,B,0.41087093621478876
1456,Location 5,7,1,B,0.5600283999279272
1457,Location 5,8,1,B,0.46905694303097256
1458,Location 5,9,1,B,0.4564014739420437
1459,Location 5,10,1,B,0.456705823522681
1460,Location 5,1,2,B,0.3801712487788795
1461,Location 5,2,2,B,0.44870372422100724
1462,Location 5,3,2,B,0.39180885386439457
1463,Location 5,4,2,B,0.48211912185572514
1464,Location 5,5,2,B,0.437078429440895
1465,Location 5,6,2,B,0.40675677700462404
1466,Location 5,7,2,B,0.4157767400634975
1467,Location 5,8,2,B,0.40235340563461913
1468,Location 5,9,2,B,0.4091357842094823
1469,Location 5,10,2,B,0.3504797694306045
1470,Location 5,1,3,B,0.40905319460163275
1471,Location 5,2,3,B,0.49093560990053026
1472,Location 5,3,3,B,0.4341913657823915
1473,Location 5,4,3,B,0.41253390386495103
1474,Location 5,5,3,B,0.37155680663149737
1475,Location 5,6,3,B,0.3386902417026455
1476,Location 5,7,3,B,0.4702002645839646
1477,Location 5,8,3,B,0.439230427607354
1478,Location 5,9,3,B,0.4709529533271297
1479,Location 5,10,3,B,0.3826755910941092
1480,Location 5,1,4,B,0.5043217271986797
1481,Location 5,2,4,B,0.4445645620417732
1482,Location 5,3,4,B,0.41250421804257387
1483,Location 5,4,4,B,0.38224884816266985
1484,Location 5,5,4,B,0.40365042103280846
1485,Location 5,6,4,B,0.42882785071921564
1486,Location 5,7,4,B,0.5336150470259036
1487,Location 5,8,4,B,0.3181812148513311
1488,Location 5,9,4,B,0.5261722760576338
1489,Location 5,10,4,B,0.41128393510417344
1490,Location 5,1,5,B,0.4004089439406131
1491,Location 5,2,5,B,0.5774302249213945
1492,Location 5,3,5,B,0.36304011214766596
1493,Location 5,4,5,B,0.49021309669193625
1494,Location 5,5,5,B,0.35059636533822613
1495,Location 5,6,5,B,0.3407398034751835
1496,Location 5,7,5,B,0.4397262312998846
1497,Location 5,8,5,B,0.42139303068337763
1498,Location 5,9,5,B,0.3928525626591792
1499,Location 5,10,5,B,0.2545711133827351
1500,Location 1,1,1,S,67.55508875379898
1501,Location 1,2,1,S,-46.725580493346484
1502,Location 1,3,1,S,64.53901904213815
1503,Location 1,4,1,S,-5.887429869995463
1504,Location 1,5,1,S,-1.459418149163504
1505,Location 1,6,1,S,26.16313883295707
1506,Location 1,7,1,S,6.826152223065142
1507,Location 1,8,1,S,39.94844972828743
1508,Location 1,9,1,S,85.2511467892625
1509,Location 1,10,1,S,-20.548193703167
1510,Location 1,1,2,S,42.67790258298619
1511,Location 1,2,2,S,1.927989086259525
1512,Location 1,3,2,S,43.88882170973939
1513,Location 1,4,2,S,-25.96189113651145
1514,Location 1,5,2,S,-12.771641149383505
1515,Location 1,6,2,S,82.35947015046396
1516,Location 1,7,2,S,63.09646310384359
1517,Location 1,8,2,S,-19.27236482939948
1518,Location 1,9,2,S,-8.880036185590678
1519,Location 1,10,2,S,54.11726374786855
1520,Location 1,1,3,S,69.05980145046662
1521,Location 1,2,3,S,4.579355130489985
1522,Location 1,3,3,S,-11.316352041226025
1523,Location 1,4,3,S,4.301379862412416
1524,Location 1,5,3,S,-31.239169181560715
1525,Location 1,6,3,S,53.9451053098348
1526,Location 1,7,3,S,-14.945621925828874
1527,Location 1,8,3,S,-52.531317894571984
1528,Location 1,9,3,S,-24.353720277275503
1529,Location 1,10,3,S,-5.677104660548682
1530,Location 1,1,4,S,-31.192928383735737
1531,Location 1,2,4,S,-15.231203240693624
1532,Location 1,3,4,S,95.13760316147274
1533,Location 1,4,4,S,17.490470051143795
1534,Location 1,5,4,S,13.717641570565132
1535,Location 1,6,4,S,-6.075929173349897
1536,Location 1,7,4,S,-9.607368345212379
1537,Location 1,8,4,S,5.549325179799041
1538,Location 1,9,4,S,30.1247221878175
1539,Location 1,10,4,S,56.04727996447103
1540,Location 1,1,5,S,-0.2406120039021049
1541,Location 1,2,5,S,-28.668681246001018
1542,Location 1,3,5,S,41.44393125341486
1543,Location 1,4,5,S,101.35502139428147
1544,Location 1,5,5,S,34.97355004633566
1545,Location 1,6,5,S,-3.065839499550858
1546,Location 1,7,5,S,84.95313753027511
1547,Location 1,8,5,S,15.760565807039065
1548,Location 1,9,5,S,24.3048150533164
1549,Location 1,10,5,S,1.1553377279801094
1550,Location 2,1,1,S,-2.1389943836553993
1551,Location 2,2,1,S,-33.11042476490532
1552,Location 2,3,1,S,-19.610689725527077
1553,Location 2,4,1,S,94.71698549421892
1554,Location 2,5,1,S,22.57172365890021
1555,Location 2,6,1,S,33.43930447627118
1556,Location 2,7,1,S,26.17755281657529
1557,Location 2,8,1,S,-57.96135120904985
1558,Location 2,9,1,S,-17.074425496010225
1559,Location 2,10,1,S,-14.609036573531125
1560,Location 2,1,2,S,-39.3715572055947
1561,Location 2,2,2,S,25.245019676706644
1562,Location 2,3,2,S,-42.52059359579735
1563,Location 2,4,2,S,27.562707283817335
1564,Location 2,5,2,S,35.95228134789753
1565,Location 2,6,2,S,-57.68216042975186
1566,Location 2,7,2,S,35.6309486567047
1567,Location 2,8,2,S,-19.816356486490058
1568,Location 2,9,2,S,53.96686277541609
1569,Location 2,10,2,S,8.485960303682127
1570,Location 2,1,3,S,31.945812785269556
1571,Location 2,2,3,S,-3.0174786976231722
1572,Location 2,3,3,S,-11.397781078395983
1573,Location 2,4,3,S,-67.60230749116569
1574,Location 2,5,3,S,49.92530491852929
1575,Location 2,6,3,S,-4.798423945600312
1576,Location 2,7,3,S,-3.5779667038673946
1577,Location 2,8,3,S,-4.1077093364115775
1578,Location 2,9,3,S,4.301352935724584
1579,Location 2,10,3,S,-51.723223440467564
1580,Location 2,1,4,S,25.962498255402018
1581,Location 2,2,4,S,72.48847050438734
1582,Location 2,3,4,S,-23.5446182925714
1583,Location 2,4,4,S,-4.326778618095926
1584,Location 2,5,4,S,3.9124889442725905
1585,Location 2,6,4,S,-42.543992741495416
1586,Location 2,7,4,S,8.942914760866282
1587,Location 2,8,4,S,-73.09455217676295
1588,Location 2,9,4,S,-23.87565878181285
1589,Location 2,10,4,S,34.46939264828109
1590,Location 2,1,5,S,55.473447863784486
1591,Location 2,2,5,S,-18.66862207880709
1592,Location 2,3,5,S,47.754223671710136
1593,Location 2,4,5,S,-19.405049944892077
1594,Location 2,5,5,S,-22.447221117677092
1595,Location 2,6,5,S,-15.783634586097545
1596,Location 2,7,5,S,-26.733772577964277
1597,Location 2,8,5,S,-18.240975742470027
1598,Location 2,9,5,S,-65.29086682171574
1599,Location 2,10,5,S,-25.022606558296015
1600,Location 3,1,1,S,-22.576230728102065
1601,Location 3,2,1,S,35.272887562147744
1602,Location 3,3,1,S,34.608050902315576
1603,Location 3,4,1,S,33.54133898885593
1604,Location 3,5,1,S,16.041892926349128
1605,Location 3,6,1,S,25.829314639662613
1606,Location 3,7,1,S,43.47537684924525
1607,Location 3,8,1,S,-11.560223652344451
1608,Location 3,9,1,S,51.48618459450368
1609,Location 3,10,1,S,74.69356775319379
1610,Location 3,1,2,S,22.191100435529513
1611,Location 3,2,2,S,-71.29950285851211
1612,Location 3,3,2,S,1.6837660971873376
1613,Location 3,4,2,S,-36.18522165887477
1614,Location 3,5,2,S,-27.108392036956904
1615,Location 3,6,2,S,-24.691999441912813
1616,Location 3,7,2,S,1.2954092884076154
1617,Location 3,8,2,S,54.29796365529759
1618,Location 3,9,2,S,-29.316430036333916
1619,Location 3,10,2,S,61.021633973400654
1620,Location 3,1,3,S,1.3032844375846793
1621,Location 3,2,3,S,-60.46990142397341
1622,Location 3,3,3,S,-39.92388098273857
1623,Location 3,4,3,S,15.343567286123314
1624,Location 3,5,3,S,-65.6053470116627
1625,Location 3,6,3,S,12.232785529222419
1626,Location 3,7,3,S,22.580773925093723
1627,Location 3,8,3,S,-13.883190229917691
1628,Location 3,9,3,S,14.877516255921599
1629,Location 3,10,3,S,-14.334682863827538
1630,Location 3,1,4,S,-36.85359259247868
1631,Location 3,2,4,S,-37.545917367902774
1632,Location 3,3,4,S,25.351206700807488
1633,Location 3,4,4,S,11.032279177717328
1634,Location 3,5,4,S,13.512248025363714
1635,Location 3,6,4,S,-98.80915595626641
1636,Location 3,7,4,S,63.25434382047021
1637,Location 3,8,4,S,-31.32897117645528
1638,Location 3,9,4,S,10.224634894250352
1639,Location 3,10,4,S,-29.690095392941455
1640,Location 3,1,5,S,63.23576550702312
1641,Location 3,2,5,S,44.05247697781671
1642,Location 3,3,5,S,-37.145546762897894
1643,Location 3,4,5,S,38.812267133146996
1644,Location 3,5,5,S,-72.81264048982739
1645,Location 3,6,5,S,-6.119054357727924
1646,Location 3,7,5,S,-27.669828356994916
1647,Location 3,8,5,S,85.40346650329022
1648,Location 3,9,5,S,-25.627409861579952
1649,Location 3,10,5,S,12.246416439231513
1650,Location 4,1,1,S,25.417640973977278
1651,Location 4,2,1,S,-18.990599295898093
1652,Location 4,3,1,S,-51.96899422519893
1653,Location 4,4,1,S,-27.701810201677095
1654,Location 4,5,1,S,12.870291710274563
1655,Location 4,6,1,S,21.676058698344733
1656,Location 4,7,1,S,-33.38355126018429
1657,Location 4,8,1,S,-84.12331567779188
1658,Location 4,9,1,S,-19.108982258093278
1659,Location 4,10,1,S,-20.459107382607048
1660,Location 4,1,2,S,24.818137452349283
1661,Location 4,2,2,S,-27.224067456022798
1662,Location 4,3,2,S,-24.45981602584443
1663,Location 4,4,2,S,-60.40136149342604
1664,Location 4,5,2,S,-6.974297806004497
1665,Location 4,6,2,S,36.49259849997733
1666,Location 4,7,2,S,-39.813764086836755
1667,Location 4,8,2,S,-30.33023655159297
1668,Location 4,9,2,S,38.592061888311534
1669,Location 4,10,2,S,10.043166574249582
1670,Location 4,1,3,S,12.154116615262971
1671,Location 4,2,3,S,27.40397631098553
1672,Location 4,3,3,S,58.30725460810862
1673,Location 4,4,3,S,-27.35500380070376
1674,Location 4,5,3,S,43.22069167649559
1675,Location 4,6,3,S,54.46067618393543
1676,Location 4,7,3,S,9.811649744582418
1677,Location 4,8,3,S,-38.08112127695563
1678,Location 4,9,3,S,102.55347628474063
1679,Location 4,10,3,S,72.68364228026884
1680,Location 4,1,4,S,-87.45849938276203
1681,Location 4,2,4,S,27.875362333119178
1682,Location 4,3,4,S,10.81697647449342
1683,Location 4,4,4,S,-3.9526153234767722
1684,Location 4,5,4,S,-2.182321734971291
1685,Location 4,6,4,S,-50.25178837523987
1686,Location 4,7,4,S,104.49578776779957
1687,Location 4,8,4,S,7.395337862272701
1688,Location 4,9,4,S,5.19338301886042
1689,Location 4,10,4,S,43.925688976667644
1690,Location 4,1,5,S,-59.22498699545639
1691,Location 4,2,5,S,-19.4377063326598
1692,Location 4,3,5,S,51.54005799743422
1693,Location 4,4,5,S,2.5918750810384266
1694,Location 4,5,5,S,11.505254983397952
1695,Location 4,6,5,S,-15.335389089842693
1696,Location 4,7,5,S,-39.03808599004512
1697,Location 4,8,5,S,2.7897673351084995
1698,Location 4,9,5,S,-27.146182121099617
1699,Location 4,10,5,S,-30.673320594789427
1700,Location 5,1,1,S,39.04417489488064
1701,Location 5,2,1,S,139.79938117149436
1702,Location 5,3,1,S,17.443907822085933
1703,Location 5,4,1,S,-11.486268752016958
1704,Location 5,5,1,S,29.519492952657018
1705,Location 5,6,1,S,-72.67712083793133
1706,Location 5,7,1,S,-33.22154966076732
1707,Location 5,8,1,S,4.731330895382957
1708,Location 5,9,1,S,47.273057810227314
1709,Location 5,10,1,S,-24.239819335141224
1710,Location 5,1,2,S,-27.36839912152043
1711,Location 5,2,2,S,29.365801279924366
1712,Location 5,3,2,S,44.60883135263906
1713,Location 5,4,2,S,-35.38067521785568
1714,Location 5,5,2,S,-29.92992622730276
1715,Location 5,6,2,S,-20.322081358933826
1716,Location 5,7,2,S,-16.412705192090304
1717,Location 5,8,2,S,35.39854102113379
1718,Location 5,9,2,S,65.66492912442162
1719,Location 5,10,2,S,35.45106298915208
1720,Location 5,1,3,S,-18.736467675609834
1721,Location 5,2,3,S,15.600123543088698
1722,Location 5,3,3,S,9.808203413006694
1723,Location 5,4,3,S,17.348993072355192
1724,Location 5,5,3,S,0.1940706922437263
1725,Location 5,6,3,S,13.723132299661042
1726,Location 5,7,3,S,100.54032761454918
1727,Location 5,8,3,S,50.59647951282642
1728,Location 5,9,3,S,-62.94812204446826
1729,Location 5,10,3,S,72.78931246000171
1730,Location 5,1,4,S,13.975610778324757
1731,Location 5,2,4,S,14.496560863086852
1732,Location 5,3,4,S,-64.18971153808974
1733,Location 5,4,4,S,14.683945047613047
1734,Location 5,5,4,S,-23.094449681182926
1735,Location 5,6,4,S,54.250111827444556
1736,Location 5,7,4,S,27.165754262561265
1737,Location 5,8,4,S,16.801806289542128
1738,Location 5,9,4,S,-25.414663485180267
1739,Location 5,10,4,S,-34.25673113091027
1740,Location 5,1,5,S,-18.624282773551556
1741,Location 5,2,5,S,3.504086791399593
1742,Location 5,3,5,S,41.22249835064811
1743,Location 5,4,5,S,-15.414120517993414
1744,Location 5,5,5,S,-50.99215924519517
1745,Location 5,6,5,S,26.51249702546765
1746,Location 5,7,5,S,-3.615089176370258
1747,Location 5,8,5,S,94.14816370119502
1748,Location 5,9,5,S,-58.60541810460566
1749,Location 5,10,5,S,-30.880727053911702
1750,Location 1,1,1,Zn,-4.616667970667403
1751,Location 1,2,1,Zn,-0.4823052382411954
1752,Location 1,3,1,Zn,1.4890720397945016
1753,Location 1,4,1,Zn,6.038383855998006
1754,Location 1,5,1,Zn,1.8388399253355283
1755,Location 1,6,1,Zn,12.747890058424195
1756,Location 1,7,1,Zn,3.919155695247374
1757,Location 1,8,1,Zn,3.380856674890998
1758,Location 1,9,1,Zn,4.104833642456761
1759,Location 1,10,1,Zn,5.566582030322205
1760,Location 1,1,2,Zn,1.2627641761503319
1761,Location 1,2,2,Zn,2.660792281469928
1762,Location 1,3,2,Zn,2.343692331873669
1763,Location 1,4,2,Zn,1.1460536935697334
1764,Location 1,5,2,Zn,1.798959517090828
1765,Location 1,6,2,Zn,7.388464819375353
1766,Location 1,7,2,Zn,6.332000644151924
1767,Location 1,8,2,Zn,4.0008452966385715
1768,Location 1,9,2,Zn,-0.6211675632560683
1769,Location 1,10,2,Zn,-1.1325045854515272
1770,Location 1,1,3,Zn,6.697142835765048
1771,Location 1,2,3,Zn,-0.6849050870827762
1772,Location 1,3,3,Zn,4.8436334370378304
1773,Location 1,4,3,Zn,2.5803612377701945
1774,Location 1,5,3,Zn,-2.0735386532510542
1775,Location 1,6,3,Zn,1.6767265037789385
1776,Location 1,7,3,Zn,1.432947456742021
1777,Location 1,8,3,Zn,3.5705229100019977
1778,Location 1,9,3,Zn,2.468876316662561
1779,Location 1,10,3,Zn,6.351879245830105
1780,Location 1,1,4,Zn,6.391053079014765
1781,Location 1,2,4,Zn,0.8831593638747668
1782,Location 1,3,4,Zn,9.895736705927494
1783,Location 1,4,4,Zn,-0.027545772975729577
1784,Location 1,5,4,Zn,1.9446452397937701
1785,Location 1,6,4,Zn,-0.9882959005581302
1786,Location 1,7,4,Zn,3.863709016753355
1787,Location 1,8,4,Zn,1.5248168966560038
1788,Location 1,9,4,Zn,-0.0598867365903768
1789,Location 1,10,4,Zn,-1.6323296689223348
1790,Location 1,1,5,Zn,-0.3715606197203378
1791,Location 1,2,5,Zn,-1.1495779413276956
1792,Location 1,3,5,Zn,-0.2605127375422813
1793,Location 1,4,5,Zn,0.37254134957695095
1794,Location 1,5,5,Zn,0.5079684682269572
1795,Location 1,6,5,Zn,7.44526153504231
1796,Location 1,7,5,Zn,6.917243925401478
1797,Location 1,8,5,Zn,3.0825034844193264
1798,Location 1,9,5,Zn,3.462069440232765
1799,Location 1,10,5,Zn,0.570733572864196
1800,Location 2,1,1,Zn,-3.492603024263044
1801,Location 2,2,1,Zn,6.34829581698801
1802,Location 2,3,1,Zn,-1.3158332207989094
1803,Location 2,4,1,Zn,1.9799822472353865
1804,Location 2,5,1,Zn,3.1241987290392226
1805,Location 2,6,1,Zn,1.1407455173868197
1806,Location 2,7,1,Zn,0.391562435121962
1807,Location 2,8,1,Zn,0.376433751399071
1808,Location 2,9,1,Zn,-1.5217513857384724
1809,Location 2,10,1,Zn,0.7038987651244737
1810,Location 2,1,2,Zn,4.221764693881008
1811,Location 2,2,2,Zn,8.775828755550041
1812,Location 2,3,2,Zn,5.248798469311011
1813,Location 2,4,2,Zn,3.4081295652220795
1814,Location 2,5,2,Zn,3.245571432904062
1815,Location 2,6,2,Zn,0.9915353106210756
1816,Location 2,7,2,Zn,3.7701503810512005
1817,Location 2,8,2,Zn,5.1565760024901905
1818,Location 2,9,2,Zn,4.640609790097289
1819,Location 2,10,2,Zn,2.599698132787634
1820,Location 2,1,3,Zn,7.213993175871729
1821,Location 2,2,3,Zn,-1.5497200213694216
1822,Location 2,3,3,Zn,8.044085820631796
1823,Location 2,4,3,Zn,-1.7317543318763464
1824,Location 2,5,3,Zn,6.891128678379967
1825,Location 2,6,3,Zn,3.4174980013965963
1826,Location 2,7,3,Zn,4.869259582754453
1827,Location 2,8,3,Zn,1.3337005223536749
1828,Location 2,9,3,Zn,2.840426294184887
1829,Location 2,10,3,Zn,-2.647594977873333
1830,Location 2,1,4,Zn,2.8115730515464183
1831,Location 2,2,4,Zn,-1.9391988609542201
1832,Location 2,3,4,Zn,6.390497147725137
1833,Location 2,4,4,Zn,4.5223368161557405
1834,Location 2,5,4,Zn,4.024303045063652
1835,Location 2,6,4,Zn,4.201153475335812
1836,Location 2,7,4,Zn,2.3358755294485594
1837,Location 2,8,4,Zn,6.251104904147745
1838,Location 2,9,4,Zn,2.178544609623535
1839,Location 2,10,4,Zn,2.53924482540736
1840,Location 2,1,5,Zn,0.15663987269120305
1841,Location 2,2,5,Zn,-4.472785582324075
1842,Location 2,3,5,Zn,12.351449391853265
1843,Location 2,4,5,Zn,3.08043485063273
1844,Location 2,5,5,Zn,-0.06746386467634613
1845,Location 2,6,5,Zn,3.895757989303943
1846,Location 2,7,5,Zn,2.7935993896129356
1847,Location 2,8,5,Zn,2.2921284730858233
1848,Location 2,9,5,Zn,1.774830535922073
1849,Location 2,10,5,Zn,1.094753718342102
1850,Location 3,1,1,Zn,8.244530343509076
1851,Location 3,2,1,Zn,0.4727003243065431
1852,Location 3,3,1,Zn,-3.5783588186886854
1853,Location 3,4,1,Zn,2.8419730319657415
1854,Location 3,5,1,Zn,6.685151915631639
1855,Location 3,6,1,Zn,9.203555685828736
1856,Location 3,7,1,Zn,1.759606136450809
1857,Location 3,8,1,Zn,2.873065526031741
1858,Location 3,9,1,Zn,-0.449984892730106
1859,Location 3,10,1,Zn,-1.049609530258698
1860,Location 3,1,2,Zn,-1.3679757056366455
1861,Location 3,2,2,Zn,1.6954886459862042
1862,Location 3,3,2,Zn,-1.2332313774565984
1863,Location 3,4,2,Zn,5.7790302429376315
1864,Location 3,5,2,Zn,1.968097214673211
1865,Location 3,6,2,Zn,0.4566827483217937
1866,Location 3,7,2,Zn,5.429549232315635
1867,Location 3,8,2,Zn,3.9537540631142933
1868,Location 3,9,2,Zn,8.432126075378548
1869,Location 3,10,2,Zn,2.960927054735439
1870,Location 3,1,3,Zn,1.2097496428916612
1871,Location 3,2,3,Zn,7.280550171926148
